Original Text,True Label,Predicted Label,Confidence Score
งานถาโถมเข้ามาไม่หยุด,stress,risk_passive,0.2989421285405172
เหนื่อยจนอยากยอมแพ้ทุกอย่าง,risk_passive,risk_suicidal_ideation,0.2698267619314484
อยากหายไปจากโลกนี้,risk_passive,risk_suicidal_ideation,0.42003444726013506
ไม่มีแรงจะเริ่มต้นวันใหม่,risk_passive,depression,0.560603711906248
รู้สึกเหมือนตัวเองไม่ดีพอ,stress,depression,0.602170547217092
ทุกอย่างค่อยๆพังลงต่อหน้า,depression,normal,0.35508083606787216
รู้สึกไร้ค่าจนไม่อยากอยู่,risk_passive,depression,0.49789061168348575
เผลอกัดริมฝีปากตัวเองจนเลือดออกตอนเครียด,risk_self_harm,stress,0.5629378370785739
ไม่อยากคุยกับใครเลย,stress,depression,0.4742804889655007
ไม่รู้จะปรึกษาใครดี,stress,risk_passive,0.3027925285264222
รู้สึกหลงทางในชีวิต,depression,risk_passive,0.3591527853575933
เหนื่อยกับการต้องแกล้งทำเป็นโอเคทุกวัน,risk_passive,normal,0.3376208928211198
กำลังจะไปในที่ที่ไม่มีวันกลับ,risk_suicide_plan,risk_immediate_danger,0.32479677254964806
รู้สึกเหมือนตัวเองหมดค่า,risk_suicidal_ideation,depression,0.4556045990151635
ชีวิตมันหนักเกินไป,depression,risk_passive,0.50477778817506
รู้สึกเหมือนตัวเองกำลังละลายหายไปทีละนิด,depression,risk_suicidal_ideation,0.3955713160833083
ไม่มีใครคงสังเกตถ้าเราหายไป,risk_suicidal_ideation,risk_passive,0.531702505193603
พักก็ยังไม่หายเหนื่อย,stress,depression,0.3705750789042609
คืนนี้คงเป็นคืนสุดท้าย,risk_immediate_danger,risk_suicide_plan,0.3761889484146351
กินยาเข้าไปเยอะมาก,risk_suicide_plan,normal,0.43209551221939585
ทำอะไรก็รู้สึกว่าตัวเองผิด,depression,risk_self_harm,0.6701031782114883
อยากหายไปจากทุกอย่าง,depression,risk_suicidal_ideation,0.35493339934183415
รู้สึกล้มเหลวในชีวิต,stress,depression,0.3784154837900484
อยากให้ทุกอย่างหายไปพร้อมกัน,risk_passive,risk_suicidal_ideation,0.5103665707832103
ทุกอย่างดูหนักไปหมด,stress,risk_passive,0.3929600923031351
เหมือนชีวิตไม่มีทางออก,depression,risk_suicidal_ideation,0.37222485113910225
อยากหลับไปตลอดกาล,risk_suicidal_ideation,risk_passive,0.35432061994390046
ชีวิตไม่มีความหมาย,risk_passive,depression,0.4542477167607678
ไม่ต้องพยายามห้ามเรา,risk_suicide_plan,depression,0.29954576510879843
รู้สึกโดดเดี่ยวแม้อยู่ท่ามกลางคนเยอะๆ,depression,stress,0.2960191973802787
ไม่ต้องรอเราอีก,risk_suicide_plan,risk_immediate_danger,0.6975474686791504
เครียดนิดหน่อยเรื่องสอบแต่จัดการได้,normal,stress,0.667333386001874
ไม่อยากพยายามอะไรอีกแล้ว,depression,risk_passive,0.3915001796822955
ไม่มีเหตุผลให้ต้องอยู่ต่อ,risk_suicidal_ideation,risk_passive,0.435557955216969
นี่คือทางออกสุดท้าย,risk_immediate_danger,risk_suicidal_ideation,0.34302826719573104
เหมือนโลกทั้งใบกำลังผลักเราออกไป,risk_suicidal_ideation,risk_immediate_danger,0.3362825764963345
ไม่รู้ว่าควรสู้ต่อไปทำไม,risk_suicidal_ideation,risk_passive,0.4477742851042626
พยายามแค่ไหนก็รู้สึกไม่พอ,stress,depression,0.5449069496034198
เอาหัวโขกกำแพงตอนเครียด,risk_self_harm,stress,0.489537747905641
ไม่เห็นแสงสว่างในชีวิตเลย,risk_suicidal_ideation,depression,0.6266982996937199
ชีวิตไม่มีแสงสว่างเหลือแล้ว,risk_passive,risk_suicidal_ideation,0.3070849504586023
อยากให้หัวใจหยุดทำงานไปเลย,risk_suicidal_ideation,stress,0.44025556726620574
เพิ่งกลับจากตลาด,normal,stress,0.4025183985201643
ลาก่อนทุกคน,risk_immediate_danger,stress,0.5420525691402509
ทุกอย่างมันเกินรับไหวแล้ว,risk_suicidal_ideation,risk_passive,0.4538432663241013
ไม่มีใครช่วยเราได้แล้ว,risk_passive,risk_immediate_danger,0.569200329936208
ไม่อยากอยู่ให้ใครลำบาก,risk_passive,depression,0.4973090828936133
อยากหายไปจากตรงนี้,depression,risk_suicidal_ideation,0.45624258186246197
งานถมทับจนไม่รู้จะเริ่มจากตรงไหนดี,stress,depression,0.32167299485871087
ไม่เหลือความรู้สึกตื่นเต้นกับอะไรเลย,depression,risk_passive,0.3895490477989435
ไม่มีเหตุผลจะอยู่ต่อจริงๆ,risk_passive,risk_suicidal_ideation,0.3898521980415343
ไม่เห็นเหตุผลจะฝืนมีชีวิตต่อไปอีกแล้ว,risk_passive,risk_suicidal_ideation,0.45733310489132767
รู้สึกว่าตัวเองเป็นคนล้มเหลว,risk_suicidal_ideation,risk_passive,0.5137747374220312
ไม่รู้จะอยู่ต่อไปทำไม,risk_suicidal_ideation,risk_passive,0.5153496266367507
มีความสุขกับวันธรรมดาแบบนี้,normal,stress,0.22283541055420497
